Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
00000,P1181,Product 0,10,2010-05-25,422.26,10102,France
00001,P1012,Product 1,4,2010-05-02,295.35,10435,France
00002,P1082,Product 2,7,2010-01-27,189.27,10348,France
00003,P1028,Product 3,13,2010-03-07,44.71,10270,Spain
00004,P1002,Product 4,2,2010-04-11,184.02,10106,Spain
00005,P1089,Product 5,2,2011-01-23,95.12,10071,Germany
00006,P1103,Product 6,1,2010-04-04,480.63,10188,Germany
00007,P1122,Product 7,2,2010-03-08,358.94,10020,Germany
00008,P1185,Product 8,10,2010-09-07,375.94,10102,France
00009,P1075,Product 9,14,2010-05-22,220.8,10121,Spain
00010,P1129,Product 10,8,2010-09-24,59.43,10466,Spain
00011,P1107,Product 11,11,2011-07-06,137.02,10214,Germany
00012,P1155,Product 12,8,2010-08-03,133.56,10330,France
00013,P1081,Product 13,8,2011-05-04,245.96,10458,United Kingdom
00014,P1076,Product 14,1,2011-05-11,233.18,10087,France
00015,P1001,Product 15,1,2011-04-25,219.54,10372,France
00016,P1126,Product 16,12,2011-10-05,250.51,10099,Germany
00017,P1134,Product 17,10,2011-05-05,493.58,10359,Spain
00018,P1025,Product 18,4,2010-01-01,152.69,10151,Spain
00019,P1087,Product 19,6,2010-01-09,309.56,10130,United Kingdom
00020,P1015,Product 20,8,2011-01-15,123.56,10149,Spain
00021,P1150,Product 21,13,2010-05-24,235.97,10308,Spain
00022,P1167,Product 22,2,2010-10-29,104.02,10257,United Kingdom
00023,P1187,Product 23,13,2011-10-12,281.31,10343,United Kingdom
00024,P1072,Product 24,3,2011-02-21,136.18,10491,Germany
00025,P1031,Product 25,6,2010-06-28,23.21,10413,Germany
00026,P1014,Product 26,10,2010-10-05,408.56,10293,Germany
00027,P1140,Product 27,4,2010-05-24,68.49,10385,Germany
00028,P1004,Product 28,12,2010-12-05,187.18,10191,Spain
00029,P1073,Product 29,2,2011-04-04,241.2,10443,Germany
00030,P1051,Product 30,7,2011-12-03,219.08,10276,France
00031,P1076,Product 31,4,2010-11-27,364.2,10160,United Kingdom
00032,P1168,Product 32,8,2010-09-27,300.4,10459,Germany
00033,P1180,Product 33,8,2010-07-06,151.21,10313,United Kingdom
00034,P1109,Product 34,7,2011-10-28,30.59,10021,Spain
00035,P1177,Product 35,10,2010-06-21,384.96,10252,Germany
00036,P1142,Product 36,9,2011-02-08,179.5,10235,France
00037,P1105,Product 37,4,2011-04-13,445.41,10344,United Kingdom
00038,P1126,Product 38,7,2010-09-04,200.55,10048,Germany
00039,P1006,Product 39,10,2011-06-07,360.24,10474,France
00040,P1039,Product 40,10,2011-07-13,470.08,10058,Spain
00041,P1155,Product 41,12,2010-04-21,327.32,10169,France
00042,P1159,Product 42,1,2010-10-30,209.68,10475,Spain
00043,P1098,Product 43,4,2011-04-18,285.86,10187,United Kingdom
00044,P1142,Product 44,2,2010-10-19,274.01,10463,Germany
00045,P1084,Product 45,9,2010-09-09,294.49,10270,France
00046,P1197,Product 46,5,2011-08-11,77.68,10189,France
00047,P1064,Product 47,3,2010-06-24,350.76,10445,France
00048,P1131,Product 48,4,2010-04-19,76.8,10174,Spain
00049,P1010,Product 49,6,2010-12-06,12.24,10445,United Kingdom
00050,P1107,Product 50,10,2010-01-14,314.27,10050,United Kingdom
00051,P1025,Product 51,1,2011-11-24,62.87,10363,Germany
00052,P1188,Product 52,7,2010-11-18,386.35,10054,Germany
00053,P1164,Product 53,8,2010-02-12,433.65,10243,United Kingdom
00054,P1150,Product 54,7,2011-04-06,472.64,10319,United Kingdom
00055,P1084,Product 55,7,2010-04-12,333.92,10130,United Kingdom
00056,P1167,Product 56,9,2011-09-17,243.6,10484,France
00057,P1150,Product 57,13,2011-12-06,179.38,10306,Spain
00058,P1122,Product 58,4,2010-01-09,248.01,10134,United Kingdom
00059,P1143,Product 59,14,2010-05-29,99.22,10020,Germany
00060,P1188,Product 60,7,2010-12-04,177.47,10328,Spain
00061,P1067,Product 61,9,2010-08-12,360.38,10166,France
00062,P1103,Product 62,5,2010-04-20,112.62,10273,Spain
00063,P1079,Product 63,2,2010-12-20,135.71,10387,United Kingdom
00064,P1158,Product 64,5,2010-03-25,375.92,10088,Spain
00065,P1052,Product 65,4,2011-07-09,93.03,10315,Germany
